,FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,X,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ,nd,Y,label
10,-8.138,-2.167,-0.57,-8.982,-2.167,-2.004,1.546,-1.882,-0.559,-2.472,-3.255,3.56,-4.618,-0.692,-9.806,8.667,-1.628,-3.143,-1.719,-4.435,-0.376,-1.628,-2.879,-2.716,-0.092,-1.465,-1.383,-3.296,-4.934,-6.897,-7.579,3.51,-3.906,-2.696,-5.442,-3.774,-9.694,-0.224,-1.912,-0.193,-1.709,-2.462,-2.726,-1.994,-1.963,-5.076,-0.529,-2.543,-0.448,-4.791,-1.79,-2.065,-1.058,-1.18,-3.55,-0.468,-1.455,-3.876,-7.65,-4.11,-2.706,-0.58,-5.646,-5.391,1
11,-6.185,-0.214,0.895,-5.076,-0.702,-1.027,3.011,-0.905,0.905,0.458,-3.255,4.537,-4.13,5.656,-11.759,8.179,-2.116,-1.19,-2.207,-2.482,-0.376,-0.651,-2.879,-1.74,0.885,-0.488,-2.36,-1.831,-4.445,-5.432,-6.602,4.974,-2.93,-0.743,-5.442,-1.821,-8.718,1.241,-0.448,1.272,-2.197,0.468,-3.703,-0.529,-0.987,-3.611,-1.506,-1.567,-0.448,-3.815,-2.279,-1.088,-1.546,-0.692,-3.55,-0.468,-0.966,-2.899,-7.161,-3.133,-2.218,-0.58,-4.181,-3.927,1
12,-5.208,-0.214,1.872,-0.193,-0.214,-0.539,3.988,-0.417,1.394,2.411,-3.743,5.025,-4.618,9.562,-11.271,4.761,-2.604,0.763,-3.184,-0.529,-0.865,-0.163,-3.367,-0.763,2.35,0.488,-4.313,-0.366,-3.469,-3.967,-5.137,5.463,-2.93,0.234,-5.931,0.132,-5.788,3.682,0.041,2.248,-3.174,2.909,-5.168,-0.041,-0.987,0.783,-3.947,-1.567,-0.936,-1.862,-3.255,0.376,-2.035,0.285,-3.55,-0.468,-0.966,-1.923,-5.208,-1.18,-1.729,-0.092,-5.157,-4.903,1
13,-6.185,-2.167,1.872,4.201,-1.19,-1.027,3.011,-0.905,0.905,2.899,-4.232,5.514,-5.107,7.609,-8.83,-0.61,-2.604,1.251,-3.184,0.936,-0.376,0.814,-2.879,0.702,2.838,1.465,-5.778,0.61,-2.492,-3.479,-3.672,4.974,-4.395,0.234,-6.419,0.621,-2.858,4.659,-1.424,2.736,-3.662,2.909,-6.144,-0.529,-2.452,4.69,-6.877,-3.031,-0.448,-0.397,-3.255,1.841,-2.035,0.773,-3.062,0.02,-0.966,-0.458,-3.255,-0.203,-0.753,0.397,-8.575,-8.321,1
14,-8.626,-4.608,0.407,4.69,-2.655,-3.469,1.546,-2.37,-0.559,-0.031,-4.232,5.025,-5.595,0.773,-4.435,-5.981,-1.628,0.275,-2.207,0.448,0.112,1.302,-1.902,1.678,3.326,2.441,-4.313,1.099,-1.516,-3.479,-3.184,3.51,-6.836,-2.207,-7.395,-0.844,-0.905,3.682,-3.377,1.76,-4.15,0.956,-6.144,-2.482,-3.916,5.666,-6.388,-4.985,0.529,0.092,-1.79,2.818,-1.546,0.773,-2.085,0.509,-1.455,0.031,-1.79,0.773,-0.264,0.885,-11.993,-11.739,1
15,-10.579,-6.561,-0.081,0.783,-4.608,-7.375,-0.407,-3.835,-2.513,-3.448,-3.255,4.049,-5.107,-7.528,0.936,-8.911,-0.163,-1.678,0.234,-0.529,1.088,1.79,-0.437,2.167,3.326,2.441,-1.383,1.099,-0.539,-3.967,-2.207,3.51,-8.789,-5.137,-7.884,-3.774,-0.417,0.753,-5.819,0.295,-3.662,-1.973,-4.191,-4.435,-5.381,4.201,-2.482,-6.938,2.482,1.068,0.651,2.818,-1.058,-0.203,-0.621,0.509,-2.431,0.519,-1.79,1.261,1.2,1.373,-11.993,-12.227,1
16,-10.579,-7.538,-0.081,-4.1,-4.608,-8.84,-1.383,-4.812,-2.513,-5.402,-1.79,3.56,-3.642,-10.946,5.33,-7.935,1.302,-3.143,2.675,-0.529,1.577,2.279,0.539,2.655,3.815,1.953,1.546,1.587,-0.051,-3.967,-1.231,3.998,-8.789,-7.579,-6.907,-6.704,-0.417,-2.665,-6.795,-1.658,-2.686,-4.415,-1.261,-5.412,-5.87,1.272,1.912,-7.914,3.947,1.556,2.116,2.33,-0.57,-0.692,0.844,0.509,-2.92,1.007,-2.279,1.75,2.177,1.862,-8.575,-8.321,1
17,-8.626,-6.073,1.383,-7.517,-3.143,-8.84,-1.383,-4.812,-1.536,-5.89,-0.326,2.584,-1.689,-8.993,6.795,-4.028,1.79,-3.143,4.14,0.448,2.553,2.767,1.516,3.143,5.28,1.465,2.035,2.075,0.437,-2.991,-0.254,5.951,-6.348,-8.067,-4.954,-7.68,-0.417,-4.618,-5.819,-3.123,-1.221,-4.415,1.18,-5.412,-5.381,-0.193,3.866,-6.938,3.459,2.533,2.604,2.818,-0.081,-0.692,1.821,0.509,-2.92,1.984,-2.767,2.238,2.665,1.862,-2.228,-2.462,1
18,-5.208,-4.12,2.848,-7.517,-0.702,-5.91,-0.407,-2.858,0.417,-3.937,0.651,3.072,-0.712,-4.598,4.354,0.366,1.302,-2.167,3.164,1.912,2.553,3.255,2.004,3.632,7.721,1.465,0.081,3.052,1.414,-2.014,0.722,7.904,-1.953,-6.602,-3.001,-5.727,1.048,-4.13,-3.866,-3.123,-0.244,-2.462,1.668,-3.947,-3.916,0.783,1.424,-4.496,1.994,3.998,2.116,4.283,-0.57,-0.203,2.797,0.997,-2.431,2.96,-2.279,3.215,3.153,2.35,3.143,3.398,1
19,-2.279,-1.19,4.801,-4.1,2.716,-1.516,1.058,-0.905,2.37,-1.495,0.651,3.56,-0.224,-1.668,-1.017,3.784,0.326,-0.702,1.211,3.866,2.065,3.743,1.516,4.608,9.674,2.441,-2.36,4.028,2.391,-0.549,0.722,10.345,2.441,-3.672,-1.048,-3.286,2.513,-1.2,-0.936,-2.146,-0.244,-0.02,0.203,-1.994,-2.452,3.225,-2.97,-2.055,0.041,4.486,1.139,5.747,-1.058,0.285,2.797,2.462,-1.943,3.937,-1.302,3.703,3.642,2.35,6.073,6.327,1
20,0.163,0.763,6.266,-0.193,5.157,2.391,1.546,1.048,3.347,0.458,0.651,4.537,-0.712,-1.668,-4.924,5.737,-1.139,0.275,-0.743,4.354,2.065,3.743,0.539,5.096,10.651,3.906,-4.313,5.005,2.391,-0.061,-1.231,12.787,5.371,-0.743,-0.071,-0.844,4.954,2.706,1.017,-1.17,-0.244,1.444,-1.75,-0.041,-1.475,5.178,-6.388,-0.102,-1.424,3.998,0.651,6.724,-1.546,0.773,1.821,3.927,-1.455,4.425,-1.302,4.191,3.153,2.35,6.073,6.327,1
21,1.139,2.228,7.731,1.76,6.622,4.344,1.546,2.024,3.835,0.946,1.139,5.514,-1.689,-2.645,-5.412,7.69,-1.139,0.763,-1.231,3.377,1.088,3.255,-0.437,4.12,10.162,4.883,-4.801,4.517,1.414,-0.549,-4.161,14.252,6.348,-0.254,0.417,0.132,6.907,5.147,1.994,-0.682,-0.244,1.933,-2.238,0.936,-1.475,5.178,-5.412,0.387,-0.936,3.021,-0.326,5.747,-1.546,0.285,0.356,4.415,-1.455,3.937,-2.279,3.703,2.665,1.862,5.096,5.351,1
22,2.116,2.716,9.684,1.76,6.622,3.855,0.57,2.024,3.835,0.946,2.116,6.002,-1.689,-1.18,-1.994,9.644,-0.651,0.275,-0.743,1.912,0.6,2.279,-1.414,2.655,8.698,4.883,-4.313,2.563,-0.539,-2.991,-7.579,15.228,5.859,-0.743,0.417,0.132,7.884,6.124,2.97,-0.682,-0.244,1.933,-1.261,0.448,-1.963,3.713,-1.506,-0.102,-0.448,1.068,-0.814,3.306,-1.058,0.285,-1.597,2.95,-1.455,1.984,-4.72,1.75,1.2,0.885,5.096,5.351,1
23,3.092,2.716,10.661,1.272,6.622,2.879,0.57,2.024,4.323,0.458,3.092,6.002,-0.712,2.726,2.401,11.597,0.326,-0.214,0.234,0.936,0.112,0.814,-2.879,0.214,6.256,2.93,-4.313,0.122,-2.981,-5.92,-10.508,15.717,5.371,-1.231,0.905,-0.356,7.395,5.636,3.459,-1.658,0.732,1.933,0.692,0.448,-1.475,0.783,2.401,-0.102,-0.448,-0.397,-2.279,0.376,-1.058,0.285,-4.527,0.02,-1.455,0.031,-7.65,-0.203,-0.264,-0.092,6.561,6.327,1
24,3.581,3.693,10.661,2.736,7.111,2.391,0.57,3.001,5.3,0.458,2.604,5.514,0.264,6.144,4.354,13.062,0.326,-0.214,-0.254,0.448,-0.376,-0.163,-4.344,-1.251,4.791,0.488,-5.29,-2.319,-4.934,-8.362,-11.973,16.693,4.883,0.722,1.882,0.132,4.954,4.659,3.947,-2.146,1.709,2.421,2.645,0.448,-1.475,-1.658,3.377,0.387,-1.424,-0.885,-3.255,-1.088,-0.57,0.285,-5.992,-2.909,-1.455,-1.923,-10.091,-1.668,-1.729,-0.58,8.026,8.28,1
25,4.069,4.669,9.196,5.666,8.087,3.367,2.035,3.977,6.765,0.946,2.116,5.514,1.241,5.168,2.889,14.526,0.326,-0.214,-0.743,0.448,-0.865,-0.651,-4.832,-2.228,3.815,-1.465,-6.266,-3.296,-5.422,-9.338,-11.485,18.158,4.883,4.14,2.858,1.109,2.024,4.171,5.412,-2.146,2.197,2.421,2.645,1.424,-0.987,-2.635,1.424,1.363,-2.889,-0.397,-3.743,-1.577,-0.57,0.285,-6.968,-4.374,-0.966,-3.387,-10.579,-2.645,-2.706,-0.58,9.003,9.257,1
26,3.581,6.622,7.731,7.131,9.552,5.32,3.499,5.442,7.741,1.434,1.628,6.002,1.241,-0.203,0.448,15.991,-0.163,-0.214,-1.719,0.448,-0.865,-0.651,-4.832,-2.228,3.815,-1.953,-6.266,-3.296,-4.934,-8.362,-10.02,20.599,5.859,8.046,3.347,3.062,1.536,4.171,6.877,-1.17,2.197,1.444,2.645,2.889,0.478,-2.635,-1.506,2.828,-3.866,0.092,-3.743,-1.088,-0.57,0.285,-6.48,-3.886,0.01,-2.899,-10.091,-2.157,-2.218,-0.58,9.003,8.769,1
27,3.581,8.087,6.755,7.619,11.017,7.273,5.941,6.419,7.741,2.411,2.116,6.978,1.241,-6.551,0.448,19.409,-0.163,-0.214,-1.719,-0.529,-0.865,-0.651,-4.344,-1.251,3.815,-1.465,-5.29,-2.319,-4.445,-6.897,-8.555,23.529,7.324,10.488,2.858,4.527,3.489,5.147,8.341,-0.193,2.197,-0.509,2.645,4.842,1.455,-2.146,-3.459,4.293,-3.377,0.58,-2.767,-0.6,-0.57,0.285,-5.015,-2.421,0.498,-2.899,-9.603,-1.668,-2.218,-0.58,8.514,8.769,1
28,4.557,9.064,8.219,6.154,11.017,8.25,7.894,7.395,7.741,2.899,3.581,8.443,0.753,-9.969,4.354,23.804,0.326,-0.214,-1.231,-1.506,-0.865,-0.651,-4.344,-1.251,3.815,-0.977,-3.337,-1.831,-4.934,-5.92,-8.555,25.482,8.301,10.488,2.858,5.503,7.395,6.124,9.318,0.783,2.197,-1.973,4.11,5.819,2.431,-2.146,-2.97,4.781,-2.401,0.092,-2.767,-1.088,-0.57,0.285,-5.015,-1.444,1.475,-2.899,-9.603,-1.668,-1.729,-0.58,9.003,9.257,1
29,6.51,10.04,10.661,6.154,10.529,8.25,8.87,8.372,7.253,3.876,5.046,10.396,1.241,-8.993,9.725,27.222,0.814,0.275,-0.743,-2.97,-1.353,-1.139,-5.32,-2.228,2.35,-1.465,-3.337,-3.296,-6.399,-6.897,-10.02,26.947,9.277,9.023,1.882,5.992,10.325,6.612,10.783,1.76,2.686,-2.462,6.063,6.795,3.408,-2.635,-2.482,5.758,-2.401,-0.885,-4.232,-2.553,-0.57,0.773,-5.992,-2.421,1.963,-4.364,-12.044,-2.645,-2.706,-1.068,10.468,10.722,1
30,7.975,10.529,13.102,7.131,10.04,8.738,9.359,9.837,7.253,4.852,5.046,11.861,2.218,-4.598,12.166,28.687,0.814,0.763,-1.719,-2.97,-2.33,-2.116,-7.762,-4.181,0.397,-3.418,-5.29,-5.737,-9.328,-9.338,-12.95,27.435,9.766,8.046,1.394,7.456,10.813,6.612,12.248,2.248,3.174,-1.485,6.551,7.772,4.384,-3.611,-2.97,6.246,-3.377,-2.35,-7.161,-4.506,-0.57,1.75,-8.433,-4.862,2.94,-7.294,-14.486,-4.11,-4.659,-2.045,11.932,11.698,1
31,8.464,11.017,13.59,10.061,10.529,9.226,9.359,10.813,7.741,5.829,4.069,12.838,4.171,-0.203,9.725,27.222,-0.651,1.251,-4.161,-3.459,-3.794,-2.604,-10.203,-5.646,-2.533,-5.371,-9.196,-8.667,-12.258,-13.245,-15.879,27.435,8.789,9.023,1.394,8.921,8.372,6.612,12.736,2.248,3.662,-0.02,5.086,8.26,5.361,-4.1,-4.924,6.734,-4.842,-3.326,-10.091,-5.483,-0.081,2.238,-11.363,-7.792,3.916,-9.735,-17.415,-6.551,-6.612,-2.533,11.444,11.21,1
32,7.975,11.017,12.126,11.525,11.017,9.715,9.359,10.813,8.718,6.317,2.116,13.326,6.124,2.726,2.401,24.78,-2.116,0.763,-6.602,-2.97,-4.283,-3.581,-11.668,-6.622,-4.974,-6.348,-12.614,-10.62,-14.211,-17.151,-17.344,27.924,7.812,10.488,1.882,9.41,5.442,7.1,13.224,2.248,4.15,1.444,1.668,7.772,5.849,-3.123,-7.365,6.734,-6.307,-3.815,-11.556,-5.971,-0.081,1.261,-13.804,-9.745,4.405,-11.2,-19.368,-7.528,-7.589,-3.021,9.491,9.257,1
33,7.487,10.04,9.684,11.525,11.993,9.226,8.87,9.837,9.206,6.317,1.628,12.838,7.1,3.215,-6.877,22.827,-2.604,0.275,-8.067,-2.482,-4.771,-3.581,-12.156,-6.622,-5.951,-4.883,-13.102,-11.597,-14.211,-19.104,-17.832,28.9,6.348,11.953,2.37,8.921,3.977,7.589,12.736,1.76,4.15,1.444,-1.261,7.284,5.849,-2.146,-8.341,6.734,-7.284,-4.303,-11.068,-5.971,-0.57,0.285,-13.804,-10.722,4.405,-11.688,-19.368,-8.016,-8.077,-3.021,6.561,6.816,1
34,6.999,9.552,7.731,10.061,12.97,8.25,8.87,8.372,9.694,5.341,1.139,12.349,6.612,2.238,-13.713,22.339,-3.092,-1.19,-8.067,-2.482,-4.283,-3.581,-10.691,-6.622,-5.463,-2.93,-11.149,-11.597,-13.234,-19.104,-16.856,28.9,5.859,11.464,2.37,8.433,4.954,8.565,11.759,1.272,4.15,0.956,-3.215,6.795,5.361,-0.193,-7.365,6.734,-6.795,-4.303,-9.603,-5.971,-0.57,-0.692,-12.339,-10.722,3.428,-11.2,-18.88,-8.016,-7.1,-3.51,5.585,5.839,1
35,6.51,9.064,6.755,8.596,12.97,6.297,9.359,7.395,10.183,5.341,2.116,11.373,5.636,0.285,-15.666,21.851,-2.116,-1.678,-7.09,-1.506,-4.283,-3.581,-9.226,-6.134,-3.51,-1.465,-7.731,-11.108,-12.258,-18.616,-15.879,27.435,5.859,10.488,1.882,7.456,6.419,9.054,10.783,0.783,4.15,0.468,-2.238,6.307,4.873,1.272,-5.9,6.246,-5.819,-4.303,-7.65,-5.483,-0.57,-1.18,-10.386,-10.722,2.94,-10.712,-17.904,-7.528,-6.124,-3.021,5.585,5.839,1
36,6.51,8.575,7.243,9.084,12.482,5.32,10.335,7.395,10.671,5.341,3.581,10.885,5.147,-1.18,-12.248,21.362,-0.651,-1.678,-5.625,-0.529,-3.306,-3.092,-8.25,-6.134,-1.556,-0.977,-5.778,-11.108,-11.77,-17.639,-15.391,25.97,6.836,9.511,1.882,7.456,6.419,9.054,9.806,1.272,4.15,0.956,-0.773,6.307,4.873,2.248,-3.947,5.758,-3.866,-3.815,-6.185,-5.483,-0.57,-1.18,-8.921,-10.722,2.452,-10.223,-17.904,-7.039,-5.147,-3.021,6.561,6.816,1
37,5.534,8.575,8.219,10.061,11.505,5.32,11.8,8.372,11.648,5.341,4.069,10.396,5.147,-2.157,-6.877,20.386,0.814,-0.702,-3.672,0.448,-2.818,-2.116,-7.762,-6.134,0.397,-2.441,-4.801,-11.108,-11.281,-17.639,-16.368,24.017,7.324,9.511,1.882,7.945,4.954,8.565,9.318,1.272,3.662,1.444,1.668,6.795,5.849,2.248,-3.459,5.269,-2.889,-2.35,-5.697,-5.483,-0.081,0.285,-9.41,-11.698,1.963,-10.712,-18.392,-6.551,-4.659,-2.533,6.561,6.327,1
38,4.069,9.064,7.731,10.061,11.017,5.809,12.288,9.349,12.136,5.829,4.069,10.885,6.124,-1.18,-1.017,21.362,1.302,0.763,-3.184,1.424,-1.841,-1.628,-7.762,-5.646,0.885,-3.906,-5.29,-11.597,-11.77,-18.616,-17.832,23.529,6.836,10.488,1.882,7.945,1.536,8.565,9.318,1.76,3.662,2.421,2.645,6.795,5.849,1.272,-3.459,4.781,-1.912,-0.885,-5.208,-4.995,0.407,1.261,-10.386,-12.187,2.452,-10.712,-18.88,-6.551,-4.659,-2.045,5.585,5.351,1
39,3.092,9.064,6.755,9.084,10.529,5.809,10.824,9.349,12.136,5.829,4.069,10.885,6.124,3.215,4.842,25.269,1.79,2.228,-2.696,1.912,-1.353,-0.163,-7.273,-4.669,0.885,-4.395,-5.29,-11.597,-11.77,-19.104,-18.809,24.017,5.371,10.976,1.394,7.945,-1.394,8.565,9.318,2.248,3.662,3.398,3.133,6.307,5.849,-0.682,-3.459,4.293,-1.424,0.58,-4.72,-4.506,0.407,2.238,-11.363,-12.187,2.452,-10.223,-19.368,-5.575,-4.659,-1.068,4.608,4.374,1
40,3.092,9.064,5.29,6.154,10.529,5.32,8.87,8.372,11.648,5.341,4.557,10.396,5.636,8.586,8.748,30.151,2.279,2.716,-1.719,2.401,-1.353,0.814,-7.273,-3.693,0.397,-4.395,-4.801,-11.108,-11.281,-19.104,-19.297,24.994,4.395,10.488,0.905,6.48,-1.394,8.565,8.83,2.736,2.686,3.886,3.133,4.842,4.873,-3.123,-2.482,3.805,-0.448,1.068,-3.743,-4.018,0.407,2.238,-11.363,-11.698,1.963,-9.735,-18.392,-4.598,-4.171,-1.068,4.12,4.374,1
41,3.092,9.064,4.801,4.201,10.04,3.367,5.941,7.395,11.159,4.852,5.046,9.908,5.147,12.492,11.19,33.569,1.79,2.716,-1.231,1.912,-0.865,1.79,-6.297,-3.204,1.373,-4.395,-4.313,-9.644,-9.328,-16.663,-18.321,25.482,4.395,9.023,-0.071,5.503,1.048,8.565,8.83,2.248,2.197,3.886,3.133,3.866,3.896,-5.076,-1.994,2.828,0.529,1.556,-3.255,-4.018,-0.081,1.75,-9.41,-10.722,0.987,-8.27,-16.439,-3.621,-3.682,-0.58,6.073,6.327,1
42,4.069,9.064,5.29,4.69,10.04,2.391,3.988,5.442,11.159,4.364,5.534,8.931,4.659,10.05,9.725,33.081,1.302,1.74,-1.231,1.912,-0.865,2.279,-5.32,-2.228,2.35,-4.395,-3.825,-7.69,-7.863,-12.756,-16.368,25.482,5.859,8.046,-0.559,4.527,4.954,8.077,9.318,1.76,1.709,3.398,2.645,2.401,2.92,-4.588,-2.482,2.828,1.506,1.556,-2.279,-3.53,-0.081,1.261,-6.968,-9.257,0.01,-6.317,-13.021,-2.645,-2.706,-0.58,9.491,9.257,1
43,5.046,9.552,7.243,8.108,11.017,1.902,3.988,4.466,11.648,3.387,6.022,8.931,5.147,1.261,4.354,31.128,0.814,0.763,-1.719,2.401,-0.376,2.279,-4.344,-1.251,3.326,-4.395,-3.825,-5.737,-5.91,-8.362,-13.438,25.97,7.812,8.046,0.417,5.015,7.395,7.589,9.806,1.272,2.197,2.421,1.668,2.401,2.92,-2.146,-3.459,3.316,1.506,1.556,-2.279,-2.065,-0.081,0.773,-4.527,-7.304,0.01,-4.364,-8.626,-1.668,-1.241,-0.58,12.421,12.187,1
44,6.51,10.529,9.196,11.525,12.97,3.367,5.452,4.954,12.136,2.899,6.022,8.931,6.124,-8.016,-3.459,29.663,0.814,0.275,-2.696,3.377,0.112,2.279,-3.855,-0.763,4.303,-3.906,-4.801,-3.784,-3.957,-4.944,-10.997,28.412,10.742,10.488,1.882,6.48,6.419,7.589,11.271,1.76,2.686,1.933,-0.285,2.889,3.896,1.76,-4.435,4.781,1.017,2.045,-1.79,-0.6,0.407,0.773,-2.574,-5.351,0.498,-2.899,-5.697,-0.692,-0.264,0.397,13.885,13.652,1
45,7.975,12.97,11.149,14.455,14.923,5.809,7.894,5.931,13.112,3.876,6.022,9.908,7.1,-11.922,-9.806,32.104,0.814,0.275,-3.672,3.866,0.6,2.279,-3.367,0.214,4.791,-2.441,-4.801,-2.319,-2.981,-3.479,-9.532,31.83,12.207,12.929,3.835,8.433,3.001,9.054,12.736,2.736,4.15,1.933,-1.261,4.354,4.873,4.69,-4.435,6.246,0.529,2.533,-1.79,0.376,0.895,1.261,-2.085,-3.886,1.475,-1.434,-4.232,0.285,0.712,0.885,14.374,14.14,1
